[2026-06-17 04:01:18] Data: {'temperature': 25.0, 'humidity': 42.3, 'lux': 22.5, 'rainAO': 4095, 'soilAO': 4095, 'uvVoltage': 0.95}
[2026-06-17 04:01:33] Data: {'temperature': 25.0, 'humidity': 42.2, 'lux': 22.5, 'rainAO': 2533, 'soilAO': 4095, 'uvVoltage': 1.04}
[2026-06-17 04:01:47] Data: {'temperature': 24.9, 'humidity': 42.1, 'lux': 22.5, 'rainAO': 0, 'soilAO': 4095, 'uvVoltage': 0.94}
[2026-06-17 04:02:01] Data: {'temperature': 25.0, 'humidity': 42.1, 'lux': 22.5, 'rainAO': 0, 'soilAO': 4095, 'uvVoltage': 0.97}
[2026-06-17 04:02:37] Data: {'temperature': 25.0, 'humidity': 42.2, 'lux': 22.5, 'rainAO': 484, 'soilAO': 4095, 'uvVoltage': 0.92}
[2026-06-17 04:02:41] Data: {'temperature': 25.0, 'humidity': 42.1, 'lux': 22.5, 'rainAO': 0, 'soilAO': 4095, 'uvVoltage': 0.94}
[2026-06-17 04:02:56] Data: {'temperature': 25.0, 'humidity': 42.0, 'lux': 22.5, 'rainAO': 186, 'soilAO': 4095, 'uvVoltage': 0.92}
[2026-06-17 04:03:09] Data: {'temperature': 25.0, 'humidity': 42.2, 'lux': 22.5, 'rainAO': 4095, 'soilAO': 4095, 'uvVoltage': 1.29}
[2026-06-17 04:03:50] Data: {'temperature': 25.0, 'humidity': 42.0, 'lux': 22.5, 'rainAO': 4095, 'soilAO': 4095, 'uvVoltage': 0.95}
[2026-06-17 04:04:04] Data: {'temperature': 24.9, 'humidity': 41.9, 'lux': 22.5, 'rainAO': 1541, 'soilAO': 4095, 'uvVoltage': 0.93}
[2026-06-17 04:04:18] Data: {'temperature': 25.0, 'humidity': 41.9, 'lux': 20.83, 'rainAO': 4095, 'soilAO': 4095, 'uvVoltage': 0.97}
[2026-06-17 04:04:58] Data: {'temperature': 24.9, 'humidity': 41.7, 'lux': 21.67, 'rainAO': 0, 'soilAO': 4095, 'uvVoltage': 0.96}
[2026-06-17 04:05:12] Data: {'temperature': 24.9, 'humidity': 41.7, 'lux': 21.67, 'rainAO': 0, 'soilAO': 4095, 'uvVoltage': 0.82}
[2026-06-17 04:05:27] Data: {'temperature': 24.9, 'humidity': 41.7, 'lux': 22.5, 'rainAO': 4095, 'soilAO': 4095, 'uvVoltage': 1.31}
[2026-06-17 04:05:41] Data: {'temperature': 24.9, 'humidity': 41.7, 'lux': 5.0, 'rainAO': 4095, 'soilAO': 4095, 'uvVoltage': 1.12}
[2026-06-17 04:08:12] Data: {'temperature': 24.9, 'humidity': 41.6, 'lux': 4.17, 'rainAO': 0, 'soilAO': 4095, 'uvVoltage': 0.89}
[2026-06-17 04:08:38] Data: {'temperature': 25.0, 'humidity': 41.8, 'lux': 105.0, 'rainAO': 4095, 'soilAO': 4095, 'uvVoltage': 0.99}
[2026-06-17 04:08:53] Data: {'temperature': 25.0, 'humidity': 41.8, 'lux': 5.83, 'rainAO': 1605, 'soilAO': 4095, 'uvVoltage': 0.99}
[2026-06-25 23:43:16] Data: {'temperature': 27.3, 'humidity': 52.0, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1663, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:43:19] Data: {'temperature': 27.3, 'humidity': 52.0, 'lux': 1.67, 'rainDO': 1, 'rainAO': 2028, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:43:21] Data: {'temperature': 27.3, 'humidity': 51.99, 'lux': 1.67, 'rainDO': 1, 'rainAO': 2338, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:44:19] Data: {'temperature': 27.3, 'humidity': 51.92, 'lux': 1.67, 'rainDO': 0, 'rainAO': 547, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:44:21] Data: {'temperature': 27.3, 'humidity': 51.91, 'lux': 1.67, 'rainDO': 0, 'rainAO': 465, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:44:24] Data: {'temperature': 27.3, 'humidity': 51.91, 'lux': 1.67, 'rainDO': 0, 'rainAO': 430, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:44:26] Data: {'temperature': 27.3, 'humidity': 51.89, 'lux': 1.67, 'rainDO': 1, 'rainAO': 824, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:44:28] Data: {'temperature': 27.3, 'humidity': 51.88, 'lux': 1.67, 'rainDO': 1, 'rainAO': 1315, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:44:30] Data: {'temperature': 27.3, 'humidity': 51.87, 'lux': 1.67, 'rainDO': 1, 'rainAO': 1732, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:44:32] Data: {'temperature': 27.3, 'humidity': 51.87, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1736, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:44:34] Data: {'temperature': 27.3, 'humidity': 51.86, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1499, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:44:36] Data: {'temperature': 27.3, 'humidity': 51.85, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1274, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:44:39] Data: {'temperature': 27.3, 'humidity': 51.86, 'lux': 1.67, 'rainDO': 1, 'rainAO': 1436, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:44:41] Data: {'temperature': 27.3, 'humidity': 51.87, 'lux': 1.67, 'rainDO': 1, 'rainAO': 2174, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:44:43] Data: {'temperature': 27.3, 'humidity': 51.86, 'lux': 1.67, 'rainDO': 1, 'rainAO': 2239, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:44:45] Data: {'temperature': 27.3, 'humidity': 51.85, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1903, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:44:47] Data: {'temperature': 27.3, 'humidity': 51.84, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1635, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:44:49] Data: {'temperature': 27.3, 'humidity': 51.84, 'lux': 1.67, 'rainDO': 1, 'rainAO': 2004, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:44:51] Data: {'temperature': 27.3, 'humidity': 51.85, 'lux': 1.67, 'rainDO': 1, 'rainAO': 2318, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
